Item Type,Brand,Age (Years),Condition,Weight (kg),Material Composition,Battery Included,Visible Damage,Screen Condition,Rust Presence,Wiring Condition,Resale Potential,Scrap Price (₹),Estimated Repair Cost (₹),Final Amount Paid (₹)
TV,Samsung,11,Working,55.3,"Plastic, Glass",No,Yes,Minor Scratches,No,Slightly Worn,Medium,8977.23,0,8977.23
AC,Hitachi,1,Non-Working,59.0,Metal,No,Yes,N/A,Yes,Intact,High,13196.97,3086,10110.97
Refrigerator,LG,3,Working,18.8,"Plastic, Glass",No,Yes,N/A,No,N/A,High,2970.55,0,2970.55
Printer,HP,3,Partially Working,47.1,Plastic,No,Yes,N/A,No,Slightly Worn,High,2906.43,2467,439.42999999999984
Printer,Canon,7,Scrap,23.4,Plastic,No,No,N/A,No,Intact,Medium,4621.51,0,4621.51
AC,LG,8,Scrap,48.9,Metal,No,Yes,N/A,No,Intact,Medium,9285.65,0,9285.65
Washing Machine,LG,11,Working,9.1,"Plastic, Glass",No,Yes,N/A,No,N/A,Medium,1401.55,0,1401.55
Refrigerator,Godrej,9,Non-Working,17.3,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,High,1186.01,2719,0.0
Microwave,LG,7,Scrap,16.2,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Low,3452.86,0,3452.86
TV,LG,15,Scrap,43.3,"Glass, Plastic, Metal",No,No,Missing Parts,Yes,Slightly Worn,Low,3802.61,0,3802.61
Microwave,Panasonic,3,Partially Working,4.1,"Metal, Plastic",No,Yes,N/A,Yes,N/A,High,952.63,319,633.63
Refrigerator,LG,1,Partially Working,45.2,"Plastic, Glass",No,Yes,N/A,No,N/A,Medium,6361.87,794,5567.87
Mobile,Apple,12,Partially Working,19.6,"Glass, Plastic, Metal",No,Yes,Minor Scratches,No,N/A,Low,2487.42,2408,79.42000000000007
Washing Machine,IFB,5,Scrap,31.3,Metal,No,No,N/A,Yes,N/A,High,7663.71,0,7663.71
Laptop,Dell,10,Non-Working,1.5,Plastic,No,Yes,Missing Parts,No,Damaged Wires,Medium,158.11,709,0.0
Microwave,Samsung,15,Scrap,44.4,"Metal, Plastic",No,No,N/A,No,N/A,Low,6804.22,0,6804.22
Mobile,Oppo,1,Working,44.9,"Plastic, Glass",Yes,No,No Damage,No,N/A,High,11328.43,0,11328.43
Printer,Canon,12,Scrap,31.8,Plastic,No,Yes,N/A,No,Damaged Wires,Low,7740.67,0,7740.67
Refrigerator,LG,4,Working,15.9,Plastic,No,Yes,N/A,No,N/A,High,2802.68,0,2802.68
AC,Hitachi,1,Non-Working,6.5,Plastic,No,Yes,N/A,No,Slightly Worn,Low,1819.13,3407,0.0
Microwave,LG,8,Scrap,30.3,"Metal, Plastic",No,Yes,N/A,No,N/A,High,4263.1,0,4263.1
Washing Machine,Samsung,4,Scrap,37.5,Plastic,No,No,N/A,No,N/A,Low,6314.25,0,6314.25
Washing Machine,Bosch,9,Working,56.5,"Plastic, Glass",No,No,N/A,No,N/A,Low,5911.99,0,5911.99
Microwave,LG,6,Non-Working,40.0,"Plastic, Glass",No,No,N/A,No,N/A,Medium,7379.59,1323,6056.59
Refrigerator,Godrej,4,Non-Working,6.9,"Metal, Plastic",No,No,N/A,Yes,N/A,Medium,1982.32,3329,0.0
Washing Machine,Samsung,10,Partially Working,50.6,Plastic,No,No,N/A,No,N/A,Medium,8407.09,2951,5456.09
TV,LG,9,Working,16.9,Plastic,No,No,Cracked,No,Slightly Worn,High,4229.75,0,4229.75
Mobile,Samsung,5,Working,24.7,"Glass, Plastic, Metal",Yes,Yes,Minor Scratches,No,N/A,Low,5964.13,0,5964.13
Laptop,HP,4,Scrap,22.6,Metal,Yes,Yes,Missing Parts,Yes,Damaged Wires,Low,5056.67,0,5056.67
AC,Voltas,10,Partially Working,0.5,Plastic,No,Yes,N/A,No,Slightly Worn,High,77.75,1138,0.0
AC,LG,5,Non-Working,41.5,Metal,No,No,N/A,Yes,Intact,High,10173.44,809,9364.44
Washing Machine,Samsung,10,Partially Working,22.7,"Plastic, Glass",No,No,N/A,No,N/A,High,2300.24,2813,0.0
Laptop,Acer,6,Working,4.1,"Plastic, Glass",Yes,No,No Damage,No,Damaged Wires,Medium,1118.25,0,1118.25
AC,Voltas,5,Non-Working,4.7,Metal,No,Yes,N/A,No,Slightly Worn,Medium,1133.32,849,284.31999999999994
Printer,HP,7,Partially Working,31.9,Metal,No,Yes,N/A,Yes,Intact,Low,2419.86,3080,0.0
TV,Panasonic,3,Partially Working,40.6,"Glass, Plastic, Metal",No,No,No Damage,Yes,Damaged Wires,Medium,8975.28,2617,6358.280000000001
Laptop,Acer,7,Working,14.1,"Metal, Plastic",Yes,No,No Damage,No,Slightly Worn,Low,727.04,0,727.04
Washing Machine,IFB,5,Non-Working,2.4,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Medium,341.49,3057,0.0
Microwave,LG,14,Working,3.6,"Glass, Plastic, Metal",No,Yes,N/A,No,N/A,Low,234.74,0,234.74
Refrigerator,LG,1,Non-Working,1.3,"Metal, Plastic",No,No,N/A,Yes,N/A,High,148.26,559,0.0
Microwave,Samsung,9,Non-Working,16.5,Metal,No,No,N/A,Yes,N/A,Medium,3830.9,2547,1283.9
Refrigerator,Godrej,5,Non-Working,27.2,"Metal, Plastic",No,No,N/A,Yes,N/A,Medium,3139.02,3104,35.01999999999998
Printer,Epson,6,Partially Working,24.8,"Metal, Plastic",No,No,N/A,No,Damaged Wires,Low,6728.91,2718,4010.91
Printer,Canon,9,Non-Working,32.6,"Metal, Plastic",No,Yes,N/A,Yes,Slightly Worn,High,6162.27,2900,3262.2700000000004
Microwave,LG,5,Non-Working,10.1,"Plastic, Glass",No,Yes,N/A,No,N/A,High,2978.74,3163,0.0
Printer,Epson,12,Non-Working,27.0,"Plastic, Glass",No,No,N/A,No,Intact,Medium,5028.59,872,4156.59
Mobile,Apple,7,Scrap,58.8,Plastic,No,Yes,No Damage,No,N/A,Medium,8577.95,0,8577.95
Laptop,HP,4,Scrap,16.1,Metal,No,Yes,No Damage,Yes,Damaged Wires,Medium,1261.3,0,1261.3
Printer,HP,2,Working,18.8,"Metal, Plastic",No,No,N/A,No,Damaged Wires,Medium,3079.98,0,3079.98
Printer,Epson,15,Partially Working,3.2,"Glass, Plastic, Metal",No,Yes,N/A,Yes,Intact,Low,642.7,2241,0.0
Laptop,Apple,3,Working,49.6,Plastic,Yes,No,Cracked,No,Slightly Worn,Medium,13069.36,0,13069.36
AC,Daikin,14,Scrap,44.2,Plastic,No,Yes,N/A,No,Damaged Wires,High,8685.14,0,8685.14
Washing Machine,LG,2,Non-Working,52.7,Plastic,No,No,N/A,No,N/A,High,5495.46,3703,1792.46
Washing Machine,Bosch,4,Partially Working,39.2,Plastic,No,Yes,N/A,No,N/A,Low,8922.36,601,8321.36
Printer,Epson,1,Scrap,19.7,Plastic,No,Yes,N/A,No,Damaged Wires,Low,1945.62,0,1945.62
Washing Machine,LG,7,Partially Working,59.6,"Metal, Plastic",No,No,N/A,No,N/A,High,5251.53,1331,3920.5299999999997
Mobile,Samsung,9,Partially Working,19.6,"Plastic, Glass",Yes,No,Minor Scratches,No,N/A,Low,2532.94,3280,0.0
Mobile,Oppo,10,Working,23.2,Plastic,Yes,Yes,Minor Scratches,No,N/A,High,1476.94,0,1476.94
Refrigerator,LG,5,Working,13.5,Plastic,No,No,N/A,No,N/A,Low,3189.37,0,3189.37
Microwave,Samsung,5,Partially Working,47.7,"Metal, Plastic",No,Yes,N/A,No,N/A,Medium,6120.94,2797,3323.9399999999996
Washing Machine,IFB,6,Scrap,0.9,"Plastic, Glass",No,No,N/A,No,N/A,High,245.59,0,245.59
Microwave,Samsung,3,Partially Working,19.4,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Medium,4705.47,2058,2647.4700000000003
Refrigerator,Whirlpool,12,Working,2.5,Metal,No,No,N/A,Yes,N/A,Medium,152.21,0,152.21
Printer,HP,13,Scrap,50.2,Plastic,No,No,N/A,No,Slightly Worn,Low,8961.32,0,8961.32
Printer,Canon,15,Non-Working,15.0,Metal,No,No,N/A,Yes,Slightly Worn,High,871.03,3942,0.0
Printer,HP,3,Working,3.1,"Plastic, Glass",No,No,N/A,No,Intact,Medium,287.55,0,287.55
Laptop,Apple,8,Non-Working,11.5,"Metal, Plastic",No,No,Minor Scratches,Yes,Slightly Worn,Low,3018.51,1524,1494.5100000000002
Printer,HP,3,Working,47.6,"Plastic, Glass",No,Yes,N/A,No,Intact,Low,3087.02,0,3087.02
AC,LG,7,Partially Working,7.1,Metal,No,No,N/A,Yes,Damaged Wires,High,1940.96,3032,0.0
TV,Panasonic,8,Working,33.8,"Metal, Plastic",No,No,No Damage,No,Damaged Wires,Low,6585.26,0,6585.26
Printer,Epson,5,Partially Working,16.8,Plastic,No,No,N/A,No,Slightly Worn,Medium,1093.39,881,212.3900000000001
Laptop,Lenovo,14,Non-Working,48.8,Plastic,No,No,No Damage,No,Intact,Low,13561.03,1012,12549.03
Microwave,Samsung,7,Partially Working,41.7,Plastic,No,Yes,N/A,No,N/A,High,11986.8,2503,9483.8
Printer,Epson,14,Working,24.6,Plastic,No,No,N/A,No,Intact,Low,3927.36,0,3927.36
AC,Daikin,11,Partially Working,1.4,Plastic,No,Yes,N/A,No,Slightly Worn,Medium,284.15,2399,0.0
Microwave,Samsung,11,Non-Working,42.8,"Plastic, Glass",No,Yes,N/A,No,N/A,Low,3960.19,2489,1471.19
Laptop,Acer,15,Scrap,30.4,Plastic,Yes,No,Cracked,No,Intact,Low,2289.97,0,2289.97
TV,Panasonic,5,Scrap,40.6,"Plastic, Glass",No,Yes,Missing Parts,No,Damaged Wires,Medium,10933.43,0,10933.43
AC,Hitachi,3,Partially Working,48.0,"Plastic, Glass",No,Yes,N/A,No,Slightly Worn,Medium,6278.63,2347,3931.63
Mobile,Vivo,11,Scrap,38.2,Plastic,Yes,No,Cracked,No,N/A,Low,11434.69,0,11434.69
Refrigerator,LG,1,Scrap,1.8,"Plastic, Glass",No,Yes,N/A,No,N/A,Medium,431.84,0,431.84
Mobile,Vivo,11,Working,20.9,"Metal, Plastic",No,No,Cracked,No,N/A,Medium,2527.59,0,2527.59
Microwave,Panasonic,7,Non-Working,32.0,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,High,2879.78,1434,1445.7800000000002
AC,Daikin,10,Working,38.6,"Plastic, Glass",No,Yes,N/A,No,Slightly Worn,Medium,2820.27,0,2820.27
Mobile,Samsung,7,Non-Working,6.4,Plastic,Yes,No,Cracked,No,N/A,High,672.59,1809,0.0
Laptop,Acer,4,Non-Working,48.4,Plastic,Yes,No,Missing Parts,No,Intact,Medium,11175.57,3109,8066.57
TV,Samsung,2,Working,47.2,Plastic,No,Yes,Cracked,No,Slightly Worn,Medium,14069.02,0,14069.02
Washing Machine,Bosch,5,Scrap,36.0,Plastic,No,Yes,N/A,No,N/A,Low,3757.2,0,3757.2
Printer,Canon,1,Non-Working,44.3,Plastic,No,No,N/A,No,Damaged Wires,Medium,5942.86,2631,3311.8599999999997
Microwave,Panasonic,9,Working,17.4,Metal,No,No,N/A,No,N/A,Medium,4728.28,0,4728.28
Refrigerator,Samsung,6,Working,1.2,"Plastic, Glass",No,Yes,N/A,No,N/A,High,197.37,0,197.37
Printer,Epson,1,Working,42.2,"Metal, Plastic",No,No,N/A,No,Slightly Worn,High,10653.03,0,10653.03
Washing Machine,LG,3,Working,22.0,"Plastic, Glass",No,No,N/A,No,N/A,High,1655.65,0,1655.65
Laptop,Dell,5,Partially Working,19.7,Metal,Yes,Yes,Minor Scratches,No,Intact,High,3381.67,3124,257.6700000000001
Printer,Canon,1,Scrap,36.4,"Plastic, Glass",No,No,N/A,No,Intact,Low,7717.22,0,7717.22
Microwave,LG,14,Partially Working,12.6,"Metal, Plastic",No,No,N/A,No,N/A,High,3085.94,1351,1734.94
TV,Sony,3,Scrap,51.3,"Metal, Plastic",No,No,No Damage,No,Slightly Worn,Low,11347.36,0,11347.36
Printer,Canon,1,Working,32.6,"Plastic, Glass",No,Yes,N/A,No,Intact,Low,9207.75,0,9207.75
AC,Daikin,5,Working,25.0,"Plastic, Glass",No,No,N/A,No,Intact,High,6434.01,0,6434.01
Mobile,Vivo,8,Scrap,7.6,"Plastic, Glass",No,No,Minor Scratches,No,N/A,Medium,1346.54,0,1346.54
Microwave,LG,7,Partially Working,29.1,Plastic,No,No,N/A,No,N/A,High,8614.1,3964,4650.1
Mobile,Samsung,12,Partially Working,42.4,Plastic,No,Yes,Minor Scratches,No,N/A,Medium,3189.3,1017,2172.3
Printer,Canon,9,Working,46.2,Plastic,No,Yes,N/A,No,Damaged Wires,Medium,8354.2,0,8354.2
Washing Machine,Bosch,5,Non-Working,4.2,"Plastic, Glass",No,No,N/A,No,N/A,Medium,461.35,3940,0.0
Refrigerator,Godrej,5,Scrap,47.9,Plastic,No,No,N/A,No,N/A,High,12706.61,0,12706.61
Mobile,Oppo,7,Scrap,56.5,Plastic,No,No,Minor Scratches,No,N/A,Low,10067.28,0,10067.28
Microwave,Samsung,8,Scrap,55.5,"Plastic, Glass",No,Yes,N/A,No,N/A,Low,6151.73,0,6151.73
Washing Machine,Samsung,5,Working,17.2,Plastic,No,Yes,N/A,No,N/A,Medium,3714.94,0,3714.94
Microwave,Panasonic,1,Scrap,28.9,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Medium,4841.98,0,4841.98
Printer,Epson,13,Working,8.2,Plastic,No,Yes,N/A,No,Damaged Wires,Medium,1090.75,0,1090.75
TV,Samsung,15,Working,59.9,Plastic,No,No,Minor Scratches,No,Intact,Medium,10506.85,0,10506.85
Mobile,OnePlus,14,Scrap,9.7,Plastic,Yes,No,Minor Scratches,No,N/A,High,2441.28,0,2441.28
Microwave,LG,6,Partially Working,33.4,"Metal, Plastic",No,No,N/A,Yes,N/A,High,2042.48,659,1383.48
Washing Machine,Samsung,3,Working,46.6,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Low,7529.73,0,7529.73
Printer,Epson,4,Scrap,37.5,"Plastic, Glass",No,No,N/A,No,Intact,Low,2723.22,0,2723.22
Microwave,Samsung,15,Non-Working,54.7,Plastic,No,No,N/A,No,N/A,Low,11935.41,2256,9679.41
Washing Machine,Samsung,4,Partially Working,19.0,"Metal, Plastic",No,Yes,N/A,Yes,N/A,High,2825.39,2386,439.3899999999999
Printer,Canon,1,Non-Working,37.1,Plastic,No,Yes,N/A,No,Damaged Wires,Low,5234.93,918,4316.93
Washing Machine,LG,2,Non-Working,9.8,"Plastic, Glass",No,No,N/A,No,N/A,High,2475.61,2908,0.0
Refrigerator,Samsung,7,Scrap,1.7,"Metal, Plastic",No,No,N/A,Yes,N/A,Low,339.05,0,339.05
Mobile,OnePlus,6,Partially Working,20.1,"Plastic, Glass",Yes,No,No Damage,No,N/A,Medium,5210.97,3839,1371.9700000000003
AC,LG,3,Working,18.5,Plastic,No,No,N/A,No,Damaged Wires,Low,4445.01,0,4445.01
Mobile,Apple,8,Scrap,13.7,Plastic,Yes,Yes,Missing Parts,No,N/A,Medium,1255.39,0,1255.39
Laptop,Acer,14,Working,35.7,"Glass, Plastic, Metal",Yes,No,Minor Scratches,No,Damaged Wires,Low,3617.84,0,3617.84
Mobile,Apple,12,Scrap,6.1,Metal,No,No,Cracked,No,N/A,High,513.8,0,513.8
Mobile,Oppo,4,Non-Working,12.3,Plastic,Yes,Yes,Missing Parts,No,N/A,Low,3388.54,3212,176.53999999999996
Microwave,LG,4,Partially Working,11.7,Plastic,No,Yes,N/A,No,N/A,High,1889.69,3735,0.0
Laptop,Lenovo,5,Non-Working,24.1,"Plastic, Glass",Yes,No,Cracked,No,Intact,High,5171.24,2714,2457.24
Laptop,HP,5,Non-Working,32.7,Metal,No,No,Minor Scratches,No,Damaged Wires,High,3907.41,2926,981.4099999999999
TV,Samsung,3,Non-Working,40.5,"Glass, Plastic, Metal",No,No,Cracked,Yes,Slightly Worn,Low,3044.76,2156,888.7600000000002
Printer,Epson,1,Working,45.1,"Metal, Plastic",No,No,N/A,Yes,Damaged Wires,Low,2290.09,0,2290.09
Washing Machine,LG,10,Scrap,22.3,Plastic,No,No,N/A,No,N/A,High,6002.54,0,6002.54
Microwave,Samsung,1,Working,53.2,"Metal, Plastic",No,No,N/A,No,N/A,Medium,13137.41,0,13137.41
Printer,Epson,6,Scrap,18.4,Plastic,No,Yes,N/A,No,Slightly Worn,Medium,3392.34,0,3392.34
Washing Machine,Bosch,3,Scrap,38.4,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Medium,4727.34,0,4727.34
Microwave,LG,15,Working,40.3,"Metal, Plastic",No,No,N/A,Yes,N/A,Low,8074.08,0,8074.08
TV,Panasonic,11,Working,39.8,Metal,No,Yes,No Damage,No,Damaged Wires,Low,11326.71,0,11326.71
Microwave,Panasonic,8,Working,45.6,Plastic,No,Yes,N/A,No,N/A,Low,11793.27,0,11793.27
TV,Panasonic,3,Working,17.1,Plastic,No,Yes,Minor Scratches,No,Intact,Medium,4648.58,0,4648.58
Microwave,Samsung,4,Scrap,39.2,"Metal, Plastic",No,No,N/A,No,N/A,Low,10943.31,0,10943.31
Refrigerator,LG,4,Non-Working,14.4,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Medium,1201.32,3868,0.0
TV,Samsung,13,Working,18.4,"Glass, Plastic, Metal",No,Yes,Missing Parts,Yes,Slightly Worn,Medium,2738.79,0,2738.79
Printer,Epson,5,Working,2.7,Plastic,No,No,N/A,No,Intact,Low,394.82,0,394.82
Laptop,Lenovo,3,Working,27.0,Plastic,Yes,No,No Damage,No,Damaged Wires,Low,7488.14,0,7488.14
Laptop,HP,15,Non-Working,33.0,Plastic,No,No,Missing Parts,No,Slightly Worn,Low,5638.62,573,5065.62
AC,Hitachi,4,Partially Working,1.2,Metal,No,Yes,N/A,No,Damaged Wires,Low,258.21,2373,0.0
Laptop,Lenovo,8,Scrap,30.0,Metal,No,No,Missing Parts,Yes,Intact,Medium,6856.27,0,6856.27
TV,Samsung,3,Scrap,9.1,"Plastic, Glass",No,Yes,Minor Scratches,No,Intact,Low,2288.58,0,2288.58
AC,Hitachi,9,Non-Working,57.5,Metal,No,Yes,N/A,Yes,Intact,High,9908.68,2580,7328.68
TV,LG,6,Non-Working,22.9,"Glass, Plastic, Metal",No,No,Missing Parts,No,Damaged Wires,Low,1732.71,1269,463.71000000000004
Laptop,Apple,1,Working,53.2,"Glass, Plastic, Metal",Yes,No,No Damage,No,Intact,High,12797.94,0,12797.94
Laptop,Apple,2,Working,50.8,Metal,No,Yes,Cracked,Yes,Slightly Worn,High,4936.41,0,4936.41
Printer,HP,14,Partially Working,37.9,"Plastic, Glass",No,Yes,N/A,No,Intact,Medium,5173.98,2409,2764.9799999999996
AC,Daikin,14,Scrap,45.7,Plastic,No,No,N/A,No,Intact,Medium,9953.97,0,9953.97
Refrigerator,LG,12,Non-Working,35.2,Plastic,No,No,N/A,No,N/A,Low,6676.09,101,6575.09
TV,LG,13,Partially Working,58.7,Plastic,No,Yes,No Damage,No,Slightly Worn,Low,4555.07,2769,1786.0699999999997
Mobile,Apple,7,Scrap,37.5,"Glass, Plastic, Metal",No,No,Minor Scratches,No,N/A,High,10589.58,0,10589.58
Printer,Canon,14,Scrap,58.8,"Glass, Plastic, Metal",No,No,N/A,Yes,Slightly Worn,Medium,15596.44,0,15596.44
Washing Machine,LG,5,Partially Working,20.8,Metal,No,No,N/A,No,N/A,Medium,2854.57,1684,1170.5700000000002
Mobile,Apple,14,Non-Working,26.2,Plastic,Yes,Yes,Missing Parts,No,N/A,High,4463.04,2393,2070.04
Mobile,OnePlus,11,Scrap,26.1,Metal,Yes,No,Minor Scratches,Yes,N/A,Low,7245.39,0,7245.39
AC,Hitachi,5,Scrap,21.5,"Plastic, Glass",No,Yes,N/A,No,Damaged Wires,High,5808.14,0,5808.14
Washing Machine,IFB,8,Scrap,52.5,"Glass, Plastic, Metal",No,No,N/A,No,N/A,Low,10932.93,0,10932.93
Mobile,Oppo,5,Working,26.6,Plastic,Yes,Yes,Minor Scratches,No,N/A,Low,4150.62,0,4150.62
Refrigerator,Samsung,13,Non-Working,10.5,"Plastic, Glass",No,Yes,N/A,No,N/A,High,2689.55,2216,473.5500000000002
Microwave,LG,12,Scrap,8.8,Metal,No,No,N/A,No,N/A,High,2571.82,0,2571.82
Laptop,Lenovo,7,Scrap,36.3,"Plastic, Glass",No,No,Missing Parts,No,Slightly Worn,Low,7824.75,0,7824.75
AC,Daikin,12,Non-Working,17.4,Plastic,No,Yes,N/A,No,Damaged Wires,Medium,1300.99,3871,0.0
Washing Machine,LG,4,Non-Working,5.7,"Metal, Plastic",No,Yes,N/A,No,N/A,Medium,516.75,2127,0.0
Printer,Epson,14,Working,2.3,Plastic,No,No,N/A,No,Slightly Worn,Medium,254.73,0,254.73
Refrigerator,Whirlpool,7,Partially Working,7.7,"Metal, Plastic",No,No,N/A,No,N/A,High,453.03,2611,0.0
Microwave,Panasonic,4,Working,27.3,Metal,No,Yes,N/A,No,N/A,High,7007.48,0,7007.48
TV,Sony,7,Scrap,36.6,Plastic,No,Yes,Missing Parts,No,Intact,Medium,7344.19,0,7344.19
Mobile,Vivo,11,Working,13.2,"Glass, Plastic, Metal",No,Yes,Cracked,Yes,N/A,Medium,3193.77,0,3193.77
TV,LG,1,Partially Working,38.1,Plastic,No,Yes,Missing Parts,No,Slightly Worn,Low,7363.76,1832,5531.76
Mobile,Vivo,15,Partially Working,38.6,Metal,No,Yes,Missing Parts,Yes,N/A,High,2862.96,3260,0.0
Printer,HP,9,Non-Working,36.2,"Glass, Plastic, Metal",No,Yes,N/A,Yes,Intact,Low,7918.25,779,7139.25
Mobile,Oppo,13,Non-Working,57.3,"Plastic, Glass",No,No,No Damage,No,N/A,High,14938.96,422,14516.96
Refrigerator,Whirlpool,7,Scrap,47.8,"Plastic, Glass",No,Yes,N/A,No,N/A,Low,2643.02,0,2643.02
Microwave,LG,14,Working,40.5,"Metal, Plastic",No,Yes,N/A,No,N/A,High,2854.26,0,2854.26
Washing Machine,LG,15,Scrap,6.8,Plastic,No,Yes,N/A,No,N/A,Low,570.9,0,570.9
Printer,HP,10,Partially Working,57.7,"Metal, Plastic",No,No,N/A,Yes,Slightly Worn,Low,6383.97,1885,4498.97
Mobile,OnePlus,7,Working,58.0,"Metal, Plastic",Yes,Yes,Minor Scratches,Yes,N/A,Low,7403.5,0,7403.5
Printer,Canon,3,Working,18.7,"Metal, Plastic",No,No,N/A,Yes,Intact,Low,4986.33,0,4986.33
Microwave,Panasonic,13,Working,32.6,"Metal, Plastic",No,Yes,N/A,No,N/A,Medium,3850.98,0,3850.98
Laptop,Dell,12,Working,10.0,"Metal, Plastic",Yes,No,Minor Scratches,No,Slightly Worn,Low,2504.43,0,2504.43
AC,Voltas,6,Scrap,36.4,Plastic,No,Yes,N/A,No,Intact,Medium,8249.52,0,8249.52
Refrigerator,LG,4,Partially Working,26.8,"Plastic, Glass",No,No,N/A,No,N/A,High,5253.02,2893,2360.0200000000004
Mobile,Vivo,14,Partially Working,10.0,Metal,Yes,No,Minor Scratches,Yes,N/A,Low,2489.56,780,1709.56
Laptop,HP,11,Scrap,36.7,Plastic,Yes,No,Missing Parts,No,Slightly Worn,High,5989.65,0,5989.65
Printer,HP,3,Scrap,3.6,"Glass, Plastic, Metal",No,No,N/A,No,Damaged Wires,Low,371.55,0,371.55
Microwave,Panasonic,8,Scrap,18.8,Metal,No,No,N/A,No,N/A,Medium,1244.59,0,1244.59
Microwave,Samsung,10,Partially Working,21.2,Metal,No,No,N/A,Yes,N/A,High,5094.99,1637,3457.99
Microwave,Samsung,5,Partially Working,59.9,Plastic,No,No,N/A,No,N/A,Low,14706.51,3434,11272.51
Laptop,Dell,13,Working,4.1,"Glass, Plastic, Metal",Yes,Yes,Cracked,Yes,Damaged Wires,Low,451.5,0,451.5
AC,Daikin,9,Working,2.5,Plastic,No,No,N/A,No,Damaged Wires,High,394.08,0,394.08
Microwave,LG,5,Partially Working,30.6,Metal,No,Yes,N/A,Yes,N/A,Low,6003.02,2535,3468.0200000000004
AC,Voltas,11,Non-Working,38.3,Metal,No,Yes,N/A,Yes,Damaged Wires,High,4607.14,2646,1961.1400000000003
Microwave,LG,8,Scrap,25.9,"Plastic, Glass",No,Yes,N/A,No,N/A,High,2941.63,0,2941.63
Mobile,Vivo,7,Scrap,28.6,"Metal, Plastic",No,Yes,Cracked,No,N/A,Medium,2978.0,0,2978.0
Mobile,Samsung,7,Working,46.4,"Metal, Plastic",Yes,Yes,No Damage,Yes,N/A,High,4610.69,0,4610.69
Mobile,Oppo,9,Working,1.3,Plastic,No,No,Missing Parts,No,N/A,Low,105.19,0,105.19
TV,Panasonic,14,Working,1.0,"Glass, Plastic, Metal",No,No,No Damage,No,Damaged Wires,Medium,281.63,0,281.63
Mobile,Samsung,13,Non-Working,48.1,"Glass, Plastic, Metal",Yes,Yes,Cracked,No,N/A,High,3579.89,2015,1564.8899999999999
Microwave,LG,8,Non-Working,16.8,"Glass, Plastic, Metal",No,No,N/A,Yes,N/A,Medium,940.22,101,839.22
Printer,Epson,9,Partially Working,39.4,Plastic,No,Yes,N/A,No,Slightly Worn,Low,2101.8,2799,0.0
Washing Machine,IFB,10,Partially Working,39.2,Metal,No,Yes,N/A,No,N/A,Medium,2506.58,579,1927.58
Washing Machine,IFB,1,Partially Working,14.6,"Glass, Plastic, Metal",No,Yes,N/A,Yes,N/A,Low,3298.08,2824,474.0799999999999
AC,Daikin,10,Scrap,37.5,Plastic,No,No,N/A,No,Intact,Low,3802.87,0,3802.87
Laptop,Apple,13,Scrap,52.3,Plastic,Yes,Yes,Minor Scratches,No,Slightly Worn,High,7013.69,0,7013.69
Microwave,LG,2,Scrap,54.9,Plastic,No,Yes,N/A,No,N/A,Low,5677.13,0,5677.13
Refrigerator,Whirlpool,14,Non-Working,14.5,Plastic,No,Yes,N/A,No,N/A,Medium,746.56,1646,0.0
Microwave,Panasonic,15,Partially Working,35.3,"Glass, Plastic, Metal",No,No,N/A,No,N/A,High,8691.14,1367,7324.139999999999
AC,LG,5,Scrap,57.0,Plastic,No,No,N/A,No,Intact,High,9975.11,0,9975.11
Laptop,HP,7,Non-Working,32.2,"Plastic, Glass",Yes,No,No Damage,No,Damaged Wires,Low,4384.63,117,4267.63
Washing Machine,IFB,2,Non-Working,33.2,Plastic,No,No,N/A,No,N/A,High,7031.82,605,6426.82
Mobile,OnePlus,10,Partially Working,31.7,Plastic,Yes,No,Missing Parts,No,N/A,Medium,2187.21,1949,238.21000000000004
Laptop,Apple,5,Partially Working,14.1,"Glass, Plastic, Metal",No,No,Minor Scratches,No,Slightly Worn,Medium,2779.85,385,2394.85
Mobile,Vivo,15,Partially Working,6.1,Plastic,Yes,No,Minor Scratches,No,N/A,Low,1472.63,1529,0.0
TV,Samsung,10,Partially Working,30.5,Plastic,No,Yes,Cracked,No,Slightly Worn,Low,6018.26,3663,2355.26
Washing Machine,LG,13,Working,23.6,"Plastic, Glass",No,No,N/A,No,N/A,Medium,3068.12,0,3068.12
Printer,Epson,11,Partially Working,38.7,Plastic,No,No,N/A,No,Damaged Wires,Medium,7609.46,1540,6069.46
Microwave,Panasonic,8,Working,51.7,Plastic,No,No,N/A,No,N/A,Medium,13044.25,0,13044.25
AC,Daikin,10,Partially Working,53.4,Plastic,No,Yes,N/A,No,Slightly Worn,Medium,15095.9,2449,12646.9
Printer,Canon,7,Scrap,16.1,"Plastic, Glass",No,No,N/A,No,Damaged Wires,Low,3447.37,0,3447.37
AC,LG,1,Non-Working,17.8,"Plastic, Glass",No,Yes,N/A,No,Slightly Worn,High,2609.46,2909,0.0
